21	3	384
1	339.0	285.0	2685	1024	0.03
2	300.0	299.0	32	48	0	16	0.05
3	272.0	409.0	138	207	0	69	0.04
4	90.0	492.0	78	156	0	78	0.04
5	474.0	360.0	196	294	0	98	0.05
6	270.0	216.0	138	207	0	69	0.03
7	90.0	106.0	198	297	0	99	0.03
8	46.0	10.0	27	54	0	27	0.02
9	497.0	262.0	57	114	0	57	0.03
10	165.0	156.0	45	90	0	45	0.01
11	66.0	207.0	152	228	0	76	0.03
12	123.0	446.0	88	132	0	44	0.03
13	388.0	466.0	42	84	0	42	0.05
14	497.0	114.0	32	64	0	32	0.01
15	297.0	251.0	34	51	0	17	0.03
16	464.0	422.0	102	153	0	51	0.05
17	138.0	53.0	40	60	0	20	0.02
18	408.0	417.0	26	39	0	13	0.02
19	69.0	380.0	130	195	0	65	0.03
20	67.0	238.0	41	82	0	41	0.01
21	244.0	326.0	65	130	0	65	0.03
